ano,texto_completo

De posse disso, podemos concluir que, ainda que exista uma verdade sobre a
realidade objetiva, jamais teremos acesso a ela porque ela é multifacetada,
complexa e com várias camadas sobrepostas. Todas essas características são
expressas de maneira intersubjetiva por um ponto de vista subjetivo que é
limitado e por si só incapaz de descrevê-la integralmente por que ele mesmo
está nela, por mais que a intersubjetividade possa ter um ideal de
aperfeiçoamento coletivo. E seria uma petição de princípio uma descrição
externa de um ponto de vista interno.

Nós, humanos, somos parte da realidade objetiva e não conseguimos nem mesmo
nos compreendermos em nossa totalidade. Também não conseguimos compreender a
totalidade do outro e de toda a realidade porque estamos inseridos nela. Além
disso, nossas compreensões podem ser formuladas por uma linguagem, ela mesma
parte da realidade intersubjetiva. E é pela linguagem que toda a realidade
intersubjetividade é criada e mantida, por meio de estórias que, bem contadas,
criam ficções irresistíveis, convincentes e que arrastam e arrasam multidões.

  

* * *

[i] Um breve texto a partir dos capítulos 1, 2 II de HARARI, Yuval Noah.
_Nexus: Uma breve história das redes de informação, da Idade da Pedra à
inteligência Artificial_. Tradução de Berilo Vargas e Denise Bottmann. São
Paulo: Companhia das Letras, 2024.

 _Panorama da sociedade capitalista**[i]**_

Sabemos que as sociedades se desenvolveram historicamente até chegarmos aos
nossos dias quando predomina o sistema capitalista que se perpetua no avanço
tecnológico e divisão do trabalho. Ocorre que nas sociedades primitivas os
seres humanos se associavam em busca de sobrevivência, porém na sociedade
capitalista na qual há busca de riqueza, o valor primordial é do interesse
individual e do enriquecimento privado.

Nesse cenário o bem coletivo deixa de ser perseguido e se transforma em uma
luta pela apropriação de recursos ainda que concentrado na mão de poucos. Por
outro lado, a globalização produz histórias semelhantes ao redor do mundo já
que integra a vida social e econômica em um mercado mundial e correlaciona,
por exemplo, o produtor de arroz brasileiro com o chinês, nessa balança
produtiva.

Da mesma forma, o desenvolvimento global impacta o desenvolvimento local, o
avanço tecnológico tal como o que ocorre na medicina pode atingir a todos, com
a ressalva fundamental de que os com mais poder aquisitivo se beneficiam mais.
Além do que todo o poder da produção global poderia resultar em mais tempo
livre para o trabalhador, mas esse trabalha cada vez mais para aumentar o
lucro individual da burguesia. Resulta que essa sociedade cindiu a conexão
entre o indivíduo e a coletividade.

Grande parte do lucro é estimulado pelo consumo e, na sociedade capitalista, o
consumismo vira um fim em si mesmo, para além das reais necessidades e
estimulado pela propaganda que nos aguça a cada vez possuirmos mais coisas e
coisas que logo vencem[ii] e precisam ser trocadas, gerando novas necessidades
de consumo. Marca dessa sociedade consumista são os shopping centers e os
supermercados, nesses últimos o consumidor tem o contato direto com a
mercadoria e reduz custos de venda do capitalista.

O consumo desenfreado leva a produção de bens não duráveis competindo com
produtos de primeira necessidade que não chegam para todos, há desperdício e
hábitos de consumo pouco saudáveis que trazem grandes impactos ambientais que
são sentidos em catástrofes que atingem os mais pobres.

Uma arma poderosa e essencial para a burguesia é o Estado que aparece como
coisa pública separada da sociedade civil e central para a democracia, já que
os governantes são eleitos pelo voto. Porém, ele é uma ilusão sendo usado para
perpetuar as desigualdades. Se a ordem política visa igualar trabalhadores e
operários, ela esconde a diferença de poderio econômico e chancela a
desigualdade social. Com a ajuda da ideologia dominante, a democracia faz
parecer que a sociedade é harmônica e igualitária, com garantia de direitos.

O Estado, então, assevera a ordem vigente e a exploração por meio de um
aparato legal e jurídico de dominação. E, em casos extremos, sabemos que as
democracias se transformam em ditadura a serviço da burguesia. É entendendo as
limitações desse sistema político da sociedade contemporânea que podemos
perceber que não há garantias de justiça social, que há uma crise de
representatividade e que deveríamos pensar em novas formas de participação
popular.

Isso posto, não é só da produção de objetos que as sociedades se desenvolvem,
mas pela arte podem se expressar e se relacionar com o belo por meio da
imaginação e criatividade. Entretanto, a produção artística não é isolada, ela
está inserida na história e cultura, dentro de um contexto social. Ela também
medeia entre o estado de natureza e o estado de produção intelectual
manifestando ideias e sentimentos.

Mas também pode possuir vínculos ideológicos servindo a interesses e
escondendo a verdadeira realidade, como quando a burguesia se apodera da
cultura popular e determina o que pode ser ou não classificado como arte.
Contudo é, sem dúvida, uma dimensão essencial do ser humano e o que
possibilita a compreender melhor o mundo e a sociedade.

  

* * *

[i] Com base em:
<https://aprendamais.mec.gov.br/course/view.php?id=1945#section-4>, “4
Filosofia e sociedade” – Plataforma Aprenda Mais.

[ii] Em <https://www.reflexoesdofilosofo.blog.br/2021/07/catalogo-de-autores-
da-filosofia-da.html>, Gunther Anders e Arnold Gehlen tratam da
_obsolescência_.

 _Uma introdução à inteligência artificial pelo enfoque da filosofia da
mente**[i]**_

Sobre a história, peguemos algumas datas: em 1956, a conferência de Dartmouth
decreta o nascimento oficial da IA; em 1980 tem-se o auge dos sistemas
especialistas que, em 1990 dão lugar a sistemas que aprendem com os dados e
não são baseados em regras, como Deep Blue, campeão de xadrez. Por fim, em
2010, há a consolidação da IA baseada em Big Data, poder computacional e
algoritmos aprimorados pela Deep Learning, até chegar na atual IA Generativa.

Caracterizando a IA, a partir de Russell e Norvig, ela teria como objetivos
imitar o desempenho humano e buscar a racionalidade ideal, tendo por foco
construir sistemas que agem e raciocinam. Então, há sistemas que agem como
humanos, como o Teste de Turing, sistemas que pensam como humanos (série
Westworld[ii]), sistemas que agem racionalmente, por exemplo, recomendando
filmes e, por fim, aqueles que pensam racionalmente, no caso de diagnósticos
de doenças.

Fundamentalmente, para eles, a IA se debruça sobre agentes inteligentes que
percebem [por sensores] e agem [por atuadores]. Eles podem ser de reflexo
simples, sem memória e com regras tipo “se, então”, como um robô aspirador de
pó (sensores mapeiam o ambiente e atuadores agem em resposta). Um pouco mais
elevados, agentes reflexos podem ter um modelo interno, como um carro
autônomo, que usa o modelo para tomar decisões. Há agentes de aprendizagem que
moldam o seu comportamento de acordo com a experiência, como, por exemplo, um
sistema de recomendação de vídeos. Por fim, agentes comunicativos podem
utilizar linguagem natural para conversar, como a Alexa[iii].

Também se pode abordar a IA levando em conta a lógica, isto é, sistemas
especialistas que usam regras bem definidas para extraírem inferências
lógicas, como um diagnóstico médico, mas que não lidam bem com ambiguidade ou
variabilidade. Já uma IA não logística foca em aprender com os dados para
tomar decisões, como é o caso das redes neurais, inspiradas no cérebro humano,
utilizadas nas mais diversas áreas, como para realizar reconhecimento facial.
Em seu resumo, Vitor também se refere ao uso de probabilidade ao invés de
regras fixas, indicando tendências com bases nas informações atuais.

Encerrando a introdução, ele elenca algumas linhas de pesquisa, como as já
conhecidas IA forte[iv], que atribui estados mentais às máquinas, como
experiência subjetiva e consciência e a IA fraca, flexibilizando os sistemas
para que ajam como se fossem inteligentes, se comportando de modo
indistinguível ao nosso.

Vitor também elenca alguns autores[v], entre eles, Searle, trazendo o
argumento do quarto chinês, onde o interlocutor não sabe chinês, apenas usa um
manual e manipula símbolos, sem os compreender. A crítica fenomenológica de
Dreyfus, pontuando que a inteligência humana não se baseia em manipular
símbolos, mas na experiência corporal e imersão no mundo. Nicolelis entende
que a IA não é nem inteligente e nem artificial, questionando a analogia entre
mente e máquina, contrapondo inteligência orgânica e supostos sistemas
inteligentes. Para ele, a mente opera de modo analógico[vi]. E a IA também não
é artificial por depender muito dos humanos que a criam e mantém.

Dois autores que Vitor traz que pouco exploramos. Crawford, que enfatiza que a
IA se ancora no mundo físico e relações sociais, depende do meio ambiente e
trabalho humano mal remunerado. Para ela, a IA só identifica padrões, mas não
entende o mundo e pode ser vista como um sistema de poder com impactos éticos
e políticos. Em linha semelhante, Harari alerta para o risco da IA dizendo que
ela não precisa ter consciência para ameaçar a humanidade. A IA pode explorar
nossas fraquezas e altera a base simbólica da cultura. Somos mediados pela
linguagem e é por ela que a IA pode criar uma realidade paralela, colocando a
democracia em risco, dada a sua capacidade de se aprimorar.

São pontos interessantes para voltarmos ao tema, algumas coisas já vimos,
outras são novidades que podemos explorar e aprofundar.

  

* * *

[i] Resumo das aulas introdutórias de Vitor Lima
(<https://www.youtube.com/watch?v=zHjo3whbSgs>), que toma como referências SEP
(<https://plato.stanford.edu/entries/artificial-intelligence/>); Kate
Crawford: _Atlas of Al_ ; Dreyfus: _What computers can't do_ e _What computers
still can't do_ ; Harari com _Nexus_ ; Nicolelis e _O verdadeiro criador de
tudo_. Depois Norvig e Russell: _AIMA_ e Searle: _Behavioral and Brain
Sciences_.

[ii] Westworld é um parque de diversões futurista que permite a seus
visitantes viverem suas fantasias utilizando uma consciência artificial.
Independentemente de quão ilícita a fantasia possa ser, não há consequências
para os visitantes do parque. (resumo Google Search)

[iii] Falamos um pouco de PLN
<https://www.reflexoesdofilosofo.blog.br/2022/01/introducao-ao-processamento-
de.html>, mas não seguimos adiante.

[iv] Falamos aqui <https://www.reflexoesdofilosofo.blog.br/2024/07/maquinas-
que-pensam.html>.

[v] Os 3 primeiros já tratamos em algumas oportunidades aqui no nosso espaço.

[vi] Cérebro não binário:
<https://www.reflexoesdofilosofo.blog.br/2020/12/informacao-godeliana-anti-
ia.html>.

 _Esta reflexão passa por temas básicos do sistema capitalista**[i]**_

Falemos brevemente da teoria da mais valia que procura mostrar que o lucro do
patrão vem do trabalho do empregado e não de outro meio. Isso ocorre porque a
única forma de produzir um novo valor é por meio do trabalho. No sistema
capitalista o patrão é dono dos meios de produção: das máquinas, ferramentas e
instalações e esse é um tipo de despesa que ele tem. Porém, máquinas, energia
elétrica e matérias primas não se transformam em produtos “ex abrupto”, elas
precisam da força de trabalho, constituindo-se essa uma segunda despesa do
patrão. Ocorre que a base do sistema capitalista é o lucro, isto é, a
acumulação de capital e ele não pode se originar de uma despesa que seja
artificialmente elevada porque dessa forma ela seria repassada a outro
capitalista, que compra o produto e que, depois, também precisaria gerar um
novo lucro pela subida artificial de preços e assim sucessivamente. Ora, nesse
processo, não se gera valor. O valor é gerado quando o patrão paga ao
trabalhador menos do que ele poderia receber e abocanha esse valor que se
caracteriza como lucro, que se serve para que ele possa investir na expansão
de seu negócio ou especular.

É o valor do trabalho, a mais-valia que não é originada como se poderia pensar
da compra e venda de mercadorias acima de seu valor e nem do simples
investimento em meios de produção. A mais-valia é o valor excedente gerado
pelo trabalho de um operário que não é a ele pago na forma de salário, isto é,
ele vende sua força de trabalho por um valor inferior ao que ela vale. Há um
capital constante, o das primeiras despesas, que sempre é repassado, mas há o
capital variável, do trabalho humano que, este sim, cria valor. E o
trabalhador não recebe pelo valor que ele cria, mas pelo valor necessário para
reproduzir sua força de trabalho.

Acontece que essa não é uma situação “natural”, muito ao contrário, ela
antagoniza patrões e empregados, já que cada qual tem um objetivo diferente.
Mas ela se oculta na ideologia dominante, ou seja, na circulação de ideias que
visam esconder que, por exemplo, uma pessoa é pobre não porque é explorada,
mas porque é preguiçosa e não gosta de trabalhar, assim naturalizando-se a
desigualdade e desencorajando a luta por melhores condições. A ideologia surge
como norma que institui o ordenamento vigente como natural e faz com que se
imponham os valores da classe dominante. O ordenamento vigente, como o
capitalista, surge então como uma realidade que deve ser seguida e obedecida,
quando na verdade é um constructo histórico e social.

Como não poderia deixar de ser diferente, a mídia é grande propagador da
ideologia dominante, já que forjada no berço dos grandes capitalistas e
utiliza a propaganda ideológica para mostrar uma realidade que se apresenta
neutra, mas que é na maioria das vezes é tirada de seu contexto ou vista sob
certos ângulos. Nesse sentido é uma arma filosófica questionar essas supostas
“verdades” que visam encobrir a crítica.

Ponto fundamental é a alienação que ocorre porque o resultado do trabalho não
fica de posse do trabalhador, mas é transferido ao patrão. O trabalhador mal
tem condições de determinar o valor de salário, seu horário de trabalho e
condições. Ele se integra e uma linha de produção como mais uma peça e mais se
aliena porque não consegue enxergar o todo do processo e cumpre as tarefas
pelas quais é delegado. Se é pelo trabalho que o homem passa a se desenvolver
e transformar a natureza pelo seu pensar e agir, no capitalismo o trabalho se
torna um instrumento de subserviência e exploração, se torna uma mercadoria.

Não podemos nos esquecer de que a ideologia também se perpetua na moral que
rege a ordem vigente capitalista que condiciona valores e normas criando leis
favorecem o interesse burguês na medida em que passa a falsa ideia de que
todos são iguais quando na verdade e ela que acentua desigualdades. É uma
moral hipócrita que serve ao individualismo burguês.

Mas é tomando pé dessa situação que podemos refletir e procurar agir dentro da
liberdade que nos é possível dadas as condições sociais e históricas numa luta
contra a dominação e alienação. Importante frisar que, se parece que o mundo é
determinado, como é dito pela ciência, a consciência do homem é uma causa que
permite mudar a essa determinação, é fonte de escolha. Entretanto, não é uma
liberdade individual, ao contrário, ela visa a emancipação humana se
desgarrando das condições econômicas que impinge perda de liberdade. Uma ação
que vise o interesse coletivo e que promova melhorias efetivas no sistema de
desequilíbrio.

  

* * *

[i] Com base no capítulo 3
(<https://aprendamais.mec.gov.br/course/view.php?id=1945>) de “Filosofia I -
Turma 2025A” – Plataforma Aprender Mais, acessado em 19 de junho de 2025.
Também com ajuda de pesquisas aleatórias na internet.

 _Quando a linguagem se aproxima do incomunicável**[i]**_

Eu queria saber qual é a sensação de andar de bicicleta. Refletindo agora
sobre essa atividade física, eu fico tentando me lembrar do que eu sinto
quando ando de bicicleta: o vento no rosto, aventura, sensação de liberdade,
mas em alguns casos de perigo e medo.

Então eu me pergunto se eu consigo comunicar essa sensação, mas parece que
isso é impossível. Eu até posso falar sobre ela, mas eu não tenho certeza se é
exatamente isso, ainda mais que faz tempo que não ando de bicicleta.

Pode ser que, se e quando eu andar, eu sinta algo totalmente diverso, quem
sabe uma felicidade ou, durante a execução da atividade, ela me remeta a outra
experiência ou sensação e talvez ISSO seja incomunicável.

Eventualmente uma foto da minha expressão durante a atividade ou um vídeo
possam ajudar nesse desafio. Ou quem sabe o monitoramento do meu batimento
cardíaco ou da atividade cerebral ajude a dar indícios do que se passa comigo,
mas não _exatamente_ o que se passa, apenas um arremedo.

Diante de tal cenário, sou levado a concluir que falar sobre o que é andar de
bicicleta, de modo inequívoco, é quimera. Eu posso elencar uma coleção de
informações e relatar, mas você só saberá o que efetivamente é andar de
bicicleta ao andar de bicicleta e, provavelmente, a sua experiência e sensação
seja diferente da minha. Assim, ficamos em um campo de aproximações.

Por outro lado, posso também comunicar como é andar de bicicleta, ou seja, as
ações que você deveria tentar fazer para andar de bicicleta. Por exemplo, você
teria que pedalar, segurar o guidão firme e reto, olhar pra frente e se
equilibrar. Seguindo essas instruções e outras mais detalhadas você
supostamente conseguirá andar de bicicleta, mas só saberá o que é andar de
bicicleta andando de bicicleta.

Tudo isso só mostra que é tudo muito incerto, mas nada impossível. E isso tudo
reforça o compromisso que devemos ter com uma comunicação que se permita
compreensível e que engaje.

  

* * *

[i] É sobre Berkeley. De alguma forma inspirado em
<https://youtu.be/SgM0LJwT3-g>, Aula 17: Berkeley: Consciência e o
conhecimento da mente e do mundo externo de Vinícius França Freitas>

 O ego pode se caracterizar como a suposta unidade do eu. É como se fosse um
local onde tudo está guardado, onde tudo de nós ali se concentra. Nesse
sentido, um egoísta parece ser alguém que pega esse ego, esse balaio de coisas
e o protege, sem limites. Já um ególatra é aquele que pega seu baú de coisas
velhas e o chacoalha, acompanhado de luzes e fogos, para mostrar que não há
coisa mais valiosa.

Entretanto perguntemos: eu sei tudo o que fiz ou tudo o que sei? Algo que fiz
faz dois ou dez anos é algo que ainda exerce algum tipo de primazia em minhas
ações? De fato, não podemos negar o edifício sobre o qual uma pessoa se
constrói, mas o desafio é percorrer todas os corredores e espaços dele. Por
outro lado, eu sabia a tabela periódica, ela estava lá cravada nos mais
profundos rincões do meu eu, mas quais são os períodos da tabela periódica?

No dia a dia, sabemos que estamos em uma determinada estação do ano, em um
determinado mês e sob algum governo, mas só sabemos essas coisas porque as
convencionamos em um trabalho milenar de observação e de compartilhamento e
constante revisão. Não há coisa que fique imune, resguardada.

Vejamos um ponto interessante: se eu for ali na esquina comprar cigarro e
sumir por algum motivo, certamente a minha foto vai circular por aí
questionando a minha localização. Ocorre que se alguns anos se passarem e
minha constituição fisiológica mudar sobremaneira, a foto e eu serão coisas
díspares. Mas, para quem me viu pela última vez com aquela aparência da foto,
para essa pessoa, quem sou eu? Esse novo ou aquele?

Eu fico vendo as pessoas, mesmo as mais próximas, familiares, colegas e me
pergunto: e as conheço? E me pergunto isso, principalmente, por que eu me
pergunto: eu me conheço? E, se para elas eu perguntar, você se conhece? Qual
seria a resposta? Eu procuro o ego, procuro meu ego. Ele está aqui dentro de
mim? Eu pressuponho que há coerência nas coisas, mas eu não tenha a mais vaga
ideia do que vai acontecer daqui a pouco ou quando eu acordar amanhã.

Ora, dorme que passa.



 _Uma jornada em busca do terceiro reino**[i]**_

Francisco trabalha uma distinção entre lógico e psicológico na teoria
fregeana, como sendo uma dualidade semântica. Nosso interesse está em entender
como pode haver uma coadunação entre esses dois campos ou quais limites há
entre eles. Para Francisco, a distinção entre lógico e não-lógico ocorre por
meio de uma investigação semântica de sentenças da linguagem natural[ii].

Mas é como se a psicologia “atrapalhasse” o pensamento rigoroso e matemático.
Há sentenças que, se logicamente contraditórias, ainda assim tem um sentido
como a poética: “um campeão de perda de campeonatos” que tem uma intenção de
provocar uma antítese irônica. É uma asserção da linguagem natural sem valor
de verdade. Ocorre que, para Frege, não é um pensamento objetivo e pertencente
ao mundo exterior, porém uma ideia subjetiva e interior e que vai variar de
acordo com as afinidades individuais permitindo a própria expressão artística.

Para Frege, segundo o autor, não há psicologismo nas relações lógicas embora
haja uma semântica em sentenças psicológicas expressas em determinados
contextos. _O sentido de uma frase é o pensamento que ela expressa**[iii]**_ ,
mas se ela não tem referência, como na poesia ou lenda, não é verdadeira nem
falsa; a ciência requer referência.

Sentenças da arte poética se utilizam da livre associação de ideias (não de
pensamentos) e seguem preocupações estéticas, portanto há valor estético e não
de verdade. Mas é a linguagem que estrutura essa fronteira por meio da
investigação lógica porque uma investigação puramente psicológica enfoca
conteúdos mentais individuais. A lógica assere pensamentos: eles têm sentido,
comunicam algo, mas ela vai até o ponto em que eles tenham valor de verdade.

Conforme Francisco, há três momentos, para Frege: primeiro há o pensar, a
apreensão do pensamento, depois há o julgar, o reconhecimento da verdade do
pensamento e por fim há o asserir, a manifestação desse juízo. É dessa forma
que procede a investigação científica e, no segundo passo, quando se reconhece
o valor de verdade, é que podemos fazer asserções. Já as sentenças ficcionais
não têm força assertiva, elas não têm relação com os atos mentais de julgar e
asserir.

São prescrições lógicas que investigam a essência da verdade, que tem caráter
metafísico, sem se ater à psicologia subjacente. Muito embora, de acordo com
Francisco, Frege não negue que mesmo uma sentença assertiva científica também
possa expressar um componente não lógico associado a seu sentido. No começo da
investigação científica, quando estamos no campo das interrogações, há
interferência de processos psíquicos, mas que vão sendo delimitados pela
demonstração formal e, quando se reconhece a verdade daquele pensamento, então
se descartam os processos mentais que foram apreendidos. Citando Francisco:
“Não importa os processos mentais que possibilitam o ato de pensar, mas, sim,
se o que pensamos é verdadeiro ou falso.” É como uma “limpeza de terreno”,
podemos classificar, pois parte-se de um ato de pensar [psíquico] para se
atingir uma demonstração verdadeira que permite julgamento e asserção.

Há interesse psicológico quando raciocinamos sobre leis naturais porque há
processos mentais de apreensão de pensamentos que não avançaram para os atos
de julgamento e asserção[iv]. Francisco cita o uso da vacina por Louis
Pasteur: ele sentiu angústia ao aplicar a vacina canina em uma criança, havia
dúvida, processo psíquico, porque ainda não havia reconhecimento da verdade.
Porém, uma vez concluído o processo investigativo, _há uma sentença que
expressa o pensamento com valor lógico independente do mundo interior dos
processos psíquicos**[v]**_.

Então, há componentes lógicos e não-lógicos nos processos mentais envolvidos
no procedimento científico, mas a fronteira se dá quando o processo termina,
quando um juízo se manifesta. Há que ter cuidado para que os processos
psicológicos não desviem a ciência da busca do ser verdadeiro. Por outro lado,
_a lógica não se debruça sobre o processo mental subjetivo, porque ele**não
provoca alteração no valor de verdade** de um pensamento**[vi]**_.

Uma vez que se debruçou nos aspectos psicológicos, Francisco trata agora da
mente humana, como um “lugar” com conteúdos como ideias, que são interiores, e
pensamentos, que são exteriores. Encontram-se, na mente humana, tanto estados
perceptivos, psicológicos e subjetivos, quanto os objetivos e lógicos. Mas é
ela que os organiza para que os pensamentos sejam comunicados pela linguagem,
no ato de asserção [verdadeiro[vii]] que se torna público [novamente].
Francisco defende esse aspecto psíquico[viii] na comunicação humana, mas
ideias podem ser _sugeridas_ , ao passo que os pensamentos são _transmitidos_.
Citando: “Um pintor, um cavaleiro e um zoólogo provavelmente conectarão ideias
muito diferentes para o nome ‘Bucéfalo’”. Nota-se que há várias ideias e o
“sentido” é apenas indicado porque elas são interiores e não podem ser
comparadas, mas têm afinidades.

Francisco sublinha que Frege não formula o conceito de mente, já que é do
campo psicológico, embora os pensamentos façam parte do processo mental /
psíquico, assim como as ideias – lógico e psicológico estão lado a lado na
mente humana. Contudo, a capacidade mental se divide em _ideias_ , que são
abstrações mentais subjetivas e interiores; _componentes não-lógicos_ , que
são interiores, mas se expressam na linguagem, porém sem valor de verdade; e a
capacidade mental especial, que são pensamentos puros e assertivos usados na
lógica (o terceiro reino).

A partir dessa conceituação, Frege é considerado um antipsicologista (embora
platonista[ix]...), porém Francisco traz críticas consolidadas por Vassalo,
principalmente a caracterização de Margolis[x] de um antipsicologismo manco,
porque não explica a natureza do terceiro reino. Frege tem teses
antipsicologistas, como a fundamentação dos conceitos matemáticos, a
construção da linguagem lógica e a elaboração de uma teoria do significado que
eram consideradas por Putnam e Margolis componentes dos processos mentais
(mundo interior). Mas Frege vai separar o conteúdo lógico da investigação
psicológica em nossa mente, se os pensamentos são apreendidos do mundo
exterior, usamos nossa capacidade psíquica para realizar operações numéricas,
por exemplo (eles não se anulam). E mesmo em uma sentença pode haver
componentes psicológicos e conteúdos lógicos, mas aí a distinção é feita pela
teoria semântica.

Entretanto, a criação psíquica, considerada por Frege uma imperfeição da
linguagem natural, pode ser eliminada por uma linguagem formal que expressa o
pensamento puro (Conceitografia, Begriffsschrift). Assim, há um mesmo sentido
objetivo partilhado (p.ex., ""Alfredo não está no local X no tempo T"") embora
possa representar diferentes ideias subjetivas (p.ex., A imagem mental de
Alfredo, ou o sentimento de alívio ou preocupação)[xi]. Se os psicologistas
consideravam que todos esses processos eram mentais e internos, para Frege a
apreensão do pensamento não está relacionada com componentes subjetivos que
são individuais e sugeridos pela linguagem ao mundo exterior, com uma base
psicológica falível.

Conforme citação de Putnam destacada por Francisco, o significado não pode ser
um estado mental particular, tese psicologista, porque ele é apreendido por
várias pessoas, então Frege o considera uma entidade abstrata [do terceiro
reino] que é pública, ainda que apreendê-lo seja um ato psicológico
individual. Assim a sentença “A lua é um satélite natural da terra” é um
pensamento que pode ser apreendido, não criado pela capacidade mental humana,
é reconhecido como verdadeiro [cientificamente]. Mas não se pode descartar que
temos capacidade criadora de processos mentais subjetivos, os da arte poética,
que Putnam parece não ter levado em conta segundo o nosso autor. Cabe
ressaltar a distinção de Frege para os processos mentais: 1.) psicológicos, do
mundo das sensações e sentimentos (Ψ - psi), não-lógicos, entram na linguagem
natural nos processos lógicos (β - beta) e lógicos, capacidade mental especial
de apreensão (λ - lambda).

Haack também foca na oposição entre lógica e processos mentais ao caracterizar
Frege como antipsicologista, já que não depende de como pensamos
individualmente e convencemos alguém, mas de uma lógica que é objetiva e
normativa[xii].

Para terminar, vamos extrair um exercício das últimas colocações de Francisco.
A sentença “A penicilina é um antibiótico” não era um pensamento de Alexander
Fleming (ele mesmo disse que não a _inventou_ , mas a _descobriu_), mas um
pensamento que ele apreendeu do mundo exterior[xiii]. Ora, nas pesquisas, ele
foi conduzido pela curiosidade que desaparece quando o pensamento é julgado
verdadeiro e acaba provocando mudanças no interior de quem o apreende, embora
permanecendo intocado. Por outro lado, se Fleming tivesse dito: “
_Impressionante_ , a penicilina é um antibiótico”, isto é, sugerindo algo
psicológico do seu mundo interior pela linguagem natural, haveria além do
pensamento verdadeiro uma sugestão psicológica que não é verdadeira nem falsa,
mas que pode ser partilhada porque temos ideias aproximadas[xiv].

Então: (Ψ) a curiosidade de Fleming pertence aos processos mentais, (λ)
processo mental de apreender um pensamento e (β) usar um acessório subjetivo
ou ideia pertencente ao mundo interior. Tais componentes mentais podem ser
distinguidos analisando-se a linguagem: para fazer ciência um fato deve ser
procurado (um objeto, referência), ou seja, há semântica do sentido; para
estudos da alma humana, diálogo cotidiano ou psicologia, observam-se
componentes semânticos de caráter subjetivo.

Para terminar, vamos marcar esse ponto apresentado por Francisco: ao
distinguir entre pensamentos e ideias Frege pode fazer uma investigação das
sentenças da linguagem natural que leva em conta aspectos lógicos e não-
lógicos. Então, se considerado antipsicologista, ele apresenta uma teoria
semântica que se divide em uma categoria lógica e outra psicológica. Nessa
dualidade, Frege também precisa fazer uma análise dos aspectos interiores para
separar os conteúdos, não sem negar que, se os aspectos subjetivos predominam
na criação poética, por exemplo, eles aparecem no início das investigações
científicas, mas devem estar ausentes nas inferências lógicas e nos resultados
das pesquisas científicas.

Originou um short: [Terceiro Reino](https://youtu.be/l8RtOwvpqZk)

  

* * *

[i] Conforme Gottlob Frege: os sentidos lógicos e psicológicos nas sentenças
da linguagem natural,
<https://revistas.usp.br/filosofiaalema/article/view/200089>, de Antonio
Marcos Francisco. DOI:
<http://dx.doi.org/10.11606/issn.2318-9800.v27i2p.31-50>. Este artigo
apresenta como tema principal a teoria semântica de Frege para sentenças da
linguagem natural e dos processos mentais associados à sua significação. Frege
se fundamenta na análise da linguagem para distinguir na mente humana os
elementos lógicos de outros de aspectos psicológicos. Portanto, nossa
investigação visa apresentar nos escritos de Frege a presença de uma teoria
semântica relacionada ao encanto estético da arte poética e outra lógica ou
associada às investigações científicas.__

[ii] De acordo com o dicionário do Google (Oxford Global Languages),
**lógico** : cujo raciocínio é rigoroso, coerente, acertado e **psicológico**
: pertencente à psique ou aos fenômenos mentais ou emocionais.

[iii] Marcando esse ponto, grifo 1.

[iv] Nota-se Sellars aqui:
<https://www.reflexoesdofilosofo.blog.br/2025/08/estruturas-perceptivas-e-
inferenciais.html>. Estruturas perceptivas e inferenciais.

[v] Marcando esse ponto, grifo 2.

[vi] Marcando esse ponto, grifo 3.

[vii] Interessante marcamos esse ponto de que o que se torna público, as
asserções, são verdadeiras.

[viii] De certa forma se contrapondo à visão de Haack, que ele cita.

[ix] Conforme citação, Russell e Wittgenstein entenderam que a asserção
fregeana tem significado do ponto de vista psicológico. Mesmo na Ideografia
(Begriffsschrift) pode-se encontrar uma concepção tradicional e psicologista
da lógica, mantendo-se a tensão com o psicologismo.

[x] **Joseph Zalman Margolis**  (16 de maio de 1924 – 8 de junho de 2021) foi
um filósofo americano. Um historicista radical, ele escreveu muitos livros que
criticavam os pressupostos centrais da filosofia ocidental e elaborou uma
forma robusta de [relativismo](https://en.wikipedia.org/wiki/Relativism
""Relativismo""). <https://en.wikipedia.org/wiki/Joseph_Margolis>.

[xi] Exemplos da IA.

[xii] Para Peirce, de acordo com Haack, a lógica é normativa e prescreve como
devemos pensar. Já para a Kant, a lógica descreve como realmente pensamos ou
devemos pensar, nesse caso um psicologismo forte, já o de Peirce um
psicologismo fraco.

[xiii] Seu valor de verdade é independente do estado psicológico de Fleming.

[xiv] Há afinidade, não identidade.

 _Nós não vemos as mesmas coisas e isso é, preferencialmente, uma questão de
linguagem**[i]**_

**Uma distinção entre ver e enxergar**. Você vê, mas enxerga? O ato de ver
algo quer dizer que sabemos o que estamos vendo (enxergamos?)? Por exemplo,
uma pessoa que, não sabendo latim, olha para uma página com um texto em latim,
não compreende o que está vendo, porém ao olhar para a mesma página em
português, se conhecedora da língua, entenderá. É como quando estamos tentando
explicar algo para alguém e dizemos: “ali, ó! Não está vendo?”. E por aí vai,
com conhecimentos gerais ou específicos das mais variadas áreas, como no
contraste da experiência entre um crítico de arte visualizando uma obra e um
